TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI
1,Lay down on the sand at the beach,Drive around blasting music with my friends,0.01,0.01,4.4
2,Do statistics research from my office,Playchess with a friend,0.02,0.01,8.8
3,Take a walk in my neighborhood on a sunny day,Play board games with my friends,0.03,0.01,3.3
4,Watch YouTube documentary videos about history,Read a book at a park with my girlfriend,0.04,0.01,1.1
5,Do statistics research from my office,Play laser tag with my friends,0.05,0.01,1.1
6,Watch YouTube documentary videos about history,Play laser tag with my friends,0.01,0.02,3.3
7,Do statistics research from my office,Drive around blasting music with my friends,0.02,0.02,1.1
8,Clean my room after not cleaning it for a long time,Watch a movie with my girlfriend,0.03,0.02,1.1
9,Lay down on the sand at the beach,Watch a movie with my girlfriend,0.04,0.02,4.4
10,Practice cooking a new recipe in my kitchen,Discuss research with my advisor,0.05,0.02,1.1
11,Practice cooking a new recipe in my kitchen,Playchess with a friend,0.01,0.03,3.3
12,Lay down on the sand at the beach,Celebrate christmas with my family,0.02,0.03,4.4
13,Take a walk in my neighborhood on a sunny day,Read a book at a park with my girlfriend,0.03,0.03,1.1
14,Do statistics research from my office,Go out to a restaurant with my family,0.04,0.03,3.3
15,Play chess online against other people,Read a book at a park with my girlfriend,0.05,0.03,4.4
16,Swim in the pool on a nice summer day,Playchess with a friend,0.01,0.04,1.1
17,Play chess online against other people,Drive around blasting music with my friends,0.02,0.04,8.8
18,Clean my room after not cleaning it for a long time,Playchess with a friend,0.03,0.04,3.3
19,Listen to music in the car with the windows down,Drive around blasting music with my friends,0.04,0.04,3.3
20,Lay down on the sand at the beach,Play board games with my friends,0.05,0.04,1.1
21,Practice cooking a new recipe in my kitchen,Celebrate christmas with my family,0.01,0.05,8.8
22,Go  to the gym ,Celebrate christmas with my family,0.02,0.05,4.4
23,Listen to music in the car with the windows down,Watch a movie with my girlfriend,0.03,0.05,1.1
24,Lay down on the sand at the beach,Discuss research with my advisor,0.04,0.05,4.4
25,Take a walk in my neighborhood on a sunny day,Drive around blasting music with my friends,0.05,0.05,3.3
26,Play chess online against other people,Play basketball with my friends,0.01,0.01,4.4
27,Take a walk in my neighborhood on a sunny day,Go out to a restaurant with my family,0.02,0.01,3.3
28,Swim in the pool on a nice summer day,Celebrate christmas with my family,0.03,0.01,3.3
29,Watch YouTube documentary videos about history,Playchess with a friend,0.04,0.01,4.4
30,Do statistics research from my office,Read a book at a park with my girlfriend,0.05,0.01,8.8
31,Listen to music in the car with the windows down,Read a book at a park with my girlfriend,0.01,0.02,8.8
32,Practice cooking a new recipe in my kitchen,Go out to a restaurant with my family,0.02,0.02,1.1
33,Lay down on the sand at the beach,Go out to a restaurant with my family,0.03,0.02,4.4
34,Go  to the gym ,Play board games with my friends,0.04,0.02,3.3
35,Lay down on the sand at the beach,Play basketball with my friends,0.05,0.02,1.1
36,Watch YouTube documentary videos about history,Celebrate christmas with my family,0.01,0.03,3.3
37,Swim in the pool on a nice summer day,Read a book at a park with my girlfriend,0.02,0.03,1.1
38,Watch YouTube documentary videos about history,Play basketball with my friends,0.03,0.03,1.1
39,Watch YouTube documentary videos about history,Drive around blasting music with my friends,0.04,0.03,3.3
40,Listen to music in the car with the windows down,Celebrate christmas with my family,0.05,0.03,4.4
41,Lay down on the sand at the beach,Play laser tag with my friends,0.01,0.04,1.1
42,Play chess online against other people,Watch a movie with my girlfriend,0.02,0.04,3.3
43,Do statistics research from my office,Discuss research with my advisor,0.03,0.04,1.1
44,Play chess online against other people,Play laser tag with my friends,0.04,0.04,1.1
45,Go  to the gym ,Discuss research with my advisor,0.05,0.04,4.4
46,Practice cooking a new recipe in my kitchen,Drive around blasting music with my friends,0.01,0.05,8.8
47,Listen to music in the car with the windows down,Discuss research with my advisor,0.02,0.05,1.1
48,Swim in the pool on a nice summer day,Go out to a restaurant with my family,0.03,0.05,4.4
49,Play chess online against other people,Playchess with a friend,0.04,0.05,3.3
50,Swim in the pool on a nice summer day,Play board games with my friends,0.05,0.05,1.1
51,Do statistics research from my office,Celebrate christmas with my family,0.01,0.01,1.1
52,Clean my room after not cleaning it for a long time,Read a book at a park with my girlfriend,0.02,0.01,3.3
53,Go  to the gym ,Read a book at a park with my girlfriend,0.03,0.01,1.1
54,Take a walk in my neighborhood on a sunny day,Play laser tag with my friends,0.04,0.01,4.4
55,Play chess online against other people,Play board games with my friends,0.05,0.01,1.1
56,Watch YouTube documentary videos about history,Discuss research with my advisor,0.01,0.02,8.8
57,Lay down on the sand at the beach,Playchess with a friend,0.02,0.02,4.4
58,Play chess online against other people,Go out to a restaurant with my family,0.03,0.02,4.4
59,Take a walk in my neighborhood on a sunny day,Celebrate christmas with my family,0.04,0.02,4.4
60,Play chess online against other people,Discuss research with my advisor,0.05,0.02,1.1
61,Listen to music in the car with the windows down,Play basketball with my friends,0.01,0.03,3.3
62,Go  to the gym ,Play laser tag with my friends,0.02,0.03,3.3
63,Take a walk in my neighborhood on a sunny day,Discuss research with my advisor,0.03,0.03,3.3
64,Swim in the pool on a nice summer day,Discuss research with my advisor,0.04,0.03,1.1
65,Watch YouTube documentary videos about history,Watch a movie with my girlfriend,0.05,0.03,1.1
66,Swim in the pool on a nice summer day,Play laser tag with my friends,0.01,0.04,1.1
67,Practice cooking a new recipe in my kitchen,Play board games with my friends,0.02,0.04,8.8
68,Clean my room after not cleaning it for a long time,Play laser tag with my friends,0.03,0.04,4.4
69,Practice cooking a new recipe in my kitchen,Watch a movie with my girlfriend,0.04,0.04,1.1
70,Listen to music in the car with the windows down,Play laser tag with my friends,0.05,0.04,1.1
71,Do statistics research from my office,Play basketball with my friends,0.01,0.05,3.3
72,Clean my room after not cleaning it for a long time,Drive around blasting music with my friends,0.02,0.05,8.8
73,Practice cooking a new recipe in my kitchen,Play laser tag with my friends,0.03,0.05,3.3
74,Play chess online against other people,Celebrate christmas with my family,0.04,0.05,4.4
75,Clean my room after not cleaning it for a long time,Play basketball with my friends,0.05,0.05,3.3
76,Go  to the gym ,Play basketball with my friends,0.01,0.01,1.1
77,Swim in the pool on a nice summer day,Play basketball with my friends,0.02,0.01,8.8
78,Practice cooking a new recipe in my kitchen,Play basketball with my friends,0.03,0.01,1.1
79,Listen to music in the car with the windows down,Play board games with my friends,0.04,0.01,1.1
80,Listen to music in the car with the windows down,Go out to a restaurant with my family,0.05,0.01,4.4
81,Listen to music in the car with the windows down,Playchess with a friend,0.01,0.02,3.3
82,Go  to the gym ,Playchess with a friend,0.02,0.02,4.4
83,Lay down on the sand at the beach,Read a book at a park with my girlfriend,0.03,0.02,1.1
84,Watch YouTube documentary videos about history,Go out to a restaurant with my family,0.04,0.02,3.3
85,Take a walk in my neighborhood on a sunny day,Play basketball with my friends,0.05,0.02,3.3
86,Practice cooking a new recipe in my kitchen,Read a book at a park with my girlfriend,0.01,0.03,1.1
87,Go  to the gym ,Watch a movie with my girlfriend,0.02,0.03,4.4
88,Swim in the pool on a nice summer day,Drive around blasting music with my friends,0.03,0.03,1.1
89,Clean my room after not cleaning it for a long time,Go out to a restaurant with my family,0.04,0.03,3.3
90,Clean my room after not cleaning it for a long time,Celebrate christmas with my family,0.05,0.03,8.8
91,Watch YouTube documentary videos about history,Play board games with my friends,0.01,0.04,3.3
92,Go  to the gym ,Go out to a restaurant with my family,0.02,0.04,8.8
