TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI
1,Order takeout from my favorite restaurant ,Go to a museum with my friends and fiance,0.01,0.01,4.4
2,Go shopping at a craft store to find new hobbies,Play video games with my Fiance,0.02,0.01,8.8
3,Order takeout from my favorite restaurant ,Join a volleyball group with friends,0.03,0.01,3.3
4,Paint while listening to music or a podcast,Take my fiance on a trip to Disney World ,0.04,0.01,1.1
5,Blast music and scream the lyrics in the shower,Go on car rides listening to music with my fiance,0.05,0.01,1.1
6,Make triple chocolate cookies after a bad day,Watch a movie with my fiance at night,0.01,0.02,3.3
7,Lay in a hammock in a forest while listening to music,Join a volleyball group with friends,0.02,0.02,1.1
8,Spend the day at the beach relaxing with the ocean sounds,Travel with my family to new cities and countries ,0.03,0.02,1.1
9,Paint while listening to music or a podcast,Have a picnic at sunset with my Fiance,0.04,0.02,4.4
10,Blast music and scream the lyrics in the shower,Join a volleyball group with friends,0.05,0.02,1.1
11,Get a luxury spa treatment and massage,Join a volleyball group with friends,0.01,0.03,3.3
12,Lay in a hammock in a forest while listening to music,Go roller skating with friends,0.02,0.03,4.4
13,Get a luxury spa treatment and massage,Have a picnic at sunset with my Fiance,0.03,0.03,1.1
14,Make triple chocolate cookies after a bad day,Go on car rides listening to music with my fiance,0.04,0.03,3.3
15,Take a warm shower and then take a nap after a long walk in the sun,Go roller skating with friends,0.05,0.03,4.4
16,Take a warm shower and then take a nap after a long walk in the sun,Paint with a twist with family,0.01,0.04,1.1
17,Lay in a hammock in a forest while listening to music,Play video games with my Fiance,0.02,0.04,8.8
18,Go shopping at a craft store to find new hobbies,Go on car rides listening to music with my fiance,0.03,0.04,3.3
19,put on a new show or movie when its raining,Travel with my family to new cities and countries ,0.04,0.04,3.3
20,Go shopping at a craft store to find new hobbies,Paint with a twist with family,0.05,0.04,1.1
21,put on a new show or movie when its raining,Take my fiance on a trip to Disney World ,0.01,0.05,8.8
22,Paint while listening to music or a podcast,Watch a movie with my fiance at night,0.02,0.05,4.4
23,Make triple chocolate cookies after a bad day,Join a volleyball group with friends,0.03,0.05,1.1
24,Order takeout from my favorite restaurant ,Go on car rides listening to music with my fiance,0.04,0.05,4.4
25,put on a new show or movie when its raining,Paint with a twist with family,0.05,0.05,3.3
26,Blast music and scream the lyrics in the shower,Go to a museum with my friends and fiance,0.01,0.01,4.4
27,Order takeout from my favorite restaurant ,Play video games with my Fiance,0.02,0.01,3.3
