TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI
1,Hike in the forest on a cool early morning,Watch movies with friends on Friday nights in my living room,0.01,0.01,4.4
2,Hike in the forest on a cool early morning,Play soccer with my neighbors in the park on Saturday afternoons,0.02,0.01,8.8
3,Practice yoga in my home studio with the windows open,Watch movies with friends on Friday nights in my living room,0.03,0.01,3.3
4,Listen to classical music while taking a long bath,Cook dinner with my partner in our kitchen on quiet weeknights,0.04,0.01,1.1
5,Meditate in my bedroom with candles lit and soft music,Attend art classes with my friend on Wednesday nights at the community center,0.05,0.01,1.1
6,Cook a new recipe in my kitchen on a lazy Sunday,Attend live concerts with my best friend on Saturday evenings,0.01,0.02,3.3
7,Practice yoga in my home studio with the windows open,Have brunch with my coworkers on Saturday mornings at a local cafe,0.02,0.02,1.1
8,Sketch landscapes in my backyard during a sunny afternoon,Play board games with my partner on rainy Sunday afternoons,0.03,0.02,1.1
9,Sketch landscapes in my backyard during a sunny afternoon,Attend live concerts with my best friend on Saturday evenings,0.04,0.02,4.4
10,Practice yoga in my home studio with the windows open,Go to the farmers' market with my parents on Saturday mornings,0.05,0.02,1.1
11,Read a novel in my favorite armchair on a quiet evening,Play board games with my partner on rainy Sunday afternoons,0.01,0.03,3.3
12,Meditate in my bedroom with candles lit and soft music,Go to the farmers' market with my parents on Saturday mornings,0.02,0.03,4.4
13,Cook a new recipe in my kitchen on a lazy Sunday,Hike with my siblings in the mountains during fall weekends,0.03,0.03,1.1
14,Write poetry in my journal at a cozy cafe,Hike with my siblings in the mountains during fall weekends,0.04,0.03,3.3
15,Practice yoga in my home studio with the windows open,Play board games with my partner on rainy Sunday afternoons,0.05,0.03,4.4
16,Write poetry in my journal at a cozy cafe,Attend art classes with my friend on Wednesday nights at the community center,0.01,0.04,1.1
17,Watch nature documentaries in my living room on a rainy day,Hike with my siblings in the mountains during fall weekends,0.02,0.04,8.8
18,Sketch landscapes in my backyard during a sunny afternoon,Play soccer with my neighbors in the park on Saturday afternoons,0.03,0.04,3.3
19,Cook a new recipe in my kitchen on a lazy Sunday,Go to the farmers' market with my parents on Saturday mornings,0.04,0.04,3.3
20,Listen to classical music while taking a long bath,Watch movies with friends on Friday nights in my living room,0.05,0.04,1.1
21,Practice yoga in my home studio with the windows open,Attend live concerts with my best friend on Saturday evenings,0.01,0.05,8.8
22,Read a novel in my favorite armchair on a quiet evening,Cook dinner with my partner in our kitchen on quiet weeknights,0.02,0.05,4.4
23,Read a novel in my favorite armchair on a quiet evening,Hike with my siblings in the mountains during fall weekends,0.03,0.05,1.1
24,Sketch landscapes in my backyard during a sunny afternoon,Attend art classes with my friend on Wednesday nights at the community center,0.04,0.05,4.4
