endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,two_4,two_4,0,4,0.04,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,3.5657,0,4,4,4,1,two_5,two_5,0,3,0.05,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.18,5.82,,0,9,9,9,1,10,Alex,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.8298,NAN,,NAN,0.18,5.82,,0,10,10,10,1,11,Alex,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.4579,NAN,,NAN,0.18,5.82,,0,11,11,11,1,12,Alex,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.8849,NAN,,NAN,0.18,5.82,,0,12,12,12,1,13,Alex,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,55.0681,NAN,,NAN,0.18,5.82,,0,13,13,13,1,14,Alex,Acc,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,3.6873,space,0.4936,0.01,1,1.5935,0,0,0,0,1,three_1,three_1,0,4,0.01,0.01,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,three_2,three_2,0,5,0.02,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,three_3,three_3,0,6,0.03,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,three_4,three_4,0,1,0.04,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,three_5,three_5,0,2,0.05,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.19,5.81,,0,14,14,14,1,15,Alex,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,24.5946,NAN,,NAN,0.19,5.81,,0,15,15,15,1,16,Alex,Acc,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,4.4593,NAN,,NAN,0.19,5.81,,0,16,16,16,1,17,Alex,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,2.7627,NAN,,NAN,0.19,5.81,,0,17,17,17,1,18,Alex,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,18.4256,NAN,,NAN,0.19,5.81,,0,18,18,18,1,19,Alex,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,43.9474,space,0.4611,0.01,1,0.7866,0,0,0,0,1,four_1,four_1,0,5,0.01,0.02,green,0,0,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,1.3313,0,1,1,1,1,four_2,four_2,0,1,0.02,0.02,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,1.3414,0,2,2,2,1,four_3,four_3,0,2,0.03,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,1.3384,0,3,3,3,1,four_4,four_4,0,4,0.04,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,1.6412,0,4,4,4,1,four_5,four_5,0,3,0.05,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.34,5.66,,0,19,19,19,1,20,Alex,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,5.2191,NAN,,NAN,0.34,5.66,,0,20,20,20,1,21,Alex,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,1.0882,NAN,,NAN,0.34,5.66,,0,21,21,21,1,22,Alex,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.719,NAN,,NAN,0.34,5.66,,0,22,22,22,1,23,Alex,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.9165,NAN,,NAN,0.34,5.66,,0,23,23,23,1,24,Alex,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.5943,space,0.365,0.01,1,0.3576,0,0,0,0,1,five_1,five_1,0,4,0.01,0.01,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,0.9716,0,1,1,1,1,five_2,five_2,0,5,0.02,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,0.7668,0,2,2,2,1,five_3,five_3,0,6,0.03,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,1.5784,0,3,3,3,1,five_4,five_4,0,1,0.04,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,2.551,0,4,4,4,1,five_5,five_5,0,2,0.05,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,3,,5,0.49,5.51,,0,24,24,24,1,25,Alex,Acc,Participant_Images/101/101_Images/101_Image_11.jpeg,did not like,1.661473164,,,,,,,,,,,,,,,,,,,,,,,space,2.255
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,space,1.6692,space,0.5869,NAN,,NAN,0.49,5.51,,0,25,25,25,1,26,Riley,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.6239,NAN,,NAN,0.49,5.51,,0,26,26,26,1,27,Riley,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.5974,NAN,,NAN,0.49,5.51,,0,27,27,27,1,28,Riley,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.801,NAN,,NAN,0.49,5.51,,0,28,28,28,1,29,Riley,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,1.016,space,0.3629,0.01,1,1.0683,0,0,0,0,1,six_1,six_1,0,5,0.01,0.02,green,0,0,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,2.1316,0,1,1,1,1,six_2,six_2,0,1,0.02,0.02,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,1.2477,0,2,2,2,1,six_3,six_3,0,2,0.03,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,1.1447,0,3,3,3,1,six_4,six_4,0,4,0.04,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,1.1462,0,4,4,4,1,six_5,six_5,0,3,0.05,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.6,5.4,,0,29,29,29,1,30,Riley,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,1.3057,NAN,,NAN,0.6,5.4,,0,30,30,30,1,31,Riley,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.8551,NAN,,NAN,0.6,5.4,,0,31,31,31,1,32,Riley,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7689,NAN,,NAN,0.6,5.4,,0,32,32,32,1,33,Riley,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.8886,NAN,,NAN,0.6,5.4,,0,33,33,33,1,34,Riley,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.3895,space,0.463,0.01,2,1.1226,0,0,0,0,1,seven_1,seven_1,0,4,0.01,0.01,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,3.078,0,1,1,1,1,seven_2,seven_2,0,5,0.02,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,3.0908,0,2,2,2,1,seven_3,seven_3,0,6,0.03,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,0.9915,0,3,3,3,1,seven_4,seven_4,0,1,0.04,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,8.2008,0,4,4,4,1,seven_5,seven_5,0,2,0.05,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.69,5.31,,0,34,34,34,1,35,Riley,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7051,NAN,,NAN,0.69,5.31,,0,35,35,35,1,36,Riley,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.3681,NAN,,NAN,0.69,5.31,,0,36,36,36,1,37,Riley,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,1.2503,NAN,,NAN,0.69,5.31,,0,37,37,37,1,38,Riley,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.6383,NAN,,NAN,0.69,5.31,,0,38,38,38,1,39,Riley,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.5277,space,0.5044,0.01,1,1.0676,0,0,0,0,1,eight_1,eight_1,0,5,0.01,0.02,green,0,0,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,1.5245,0,1,1,1,1,eight_2,eight_2,0,1,0.02,0.02,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,1.5243,0,2,2,2,1,eight_3,eight_3,0,2,0.03,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,0.9883,0,3,3,3,1,eight_4,eight_4,0,4,0.04,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,0.999,0,4,4,4,1,eight_5,eight_5,0,3,0.05,0.02,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.78,5.22,,0,39,39,39,1,40,Riley,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.8953,NAN,,NAN,0.78,5.22,,0,40,40,40,1,41,Riley,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.9918,NAN,,NAN,0.78,5.22,,0,41,41,41,1,42,Riley,Acc,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7422,NAN,,NAN,0.78,5.22,,0,42,42,42,1,43,Riley,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7727,NAN,,NAN,0.78,5.22,,0,43,43,43,1,44,Riley,Acc,Participant_Images/101/101_Images/101_Image_8.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.6779,space,0.413,0.01,2,1.0173,0,0,0,0,1,nine_1,nine_1,0,4,0.01,0.01,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,1.0693,0,1,1,1,1,nine_2,nine_2,0,5,0.02,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,1.2157,0,2,2,2,1,nine_3,nine_3,0,6,0.03,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,1.1032,0,3,3,3,1,nine_4,nine_4,0,1,0.04,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,1.7055,0,4,4,4,1,nine_5,nine_5,0,2,0.05,0.01,green,1,0,0,,
