Prolific_ID,RR_score
568d286ab5a2c2000cb6a91c,21
595727bd7c76640001aa8f6e,30
5a4636c92f91ec0001dcba07,25
5ad2c8334d061300011b1985,26
5adef850eb60400001539109,31
5aec7e89ae13140001fc0cdf,27
5b6c312fa1fda800015fe165,23
5bcc60b95c2b810001dc68e2,24
5c1c74700036a80001193c24,26
5c1edaeaafeeef00011588b3,29
5c3272172f0f3500010284c0,31
5cab944b41de360017e2c3db,26
5d55d562e04e1c0001f5e682,29
5dcb685070d51c8275d7bd54,20
5dee8ee31255595293a9906b,25
5ec75df0d799ae1c11a8115c,29
5eefc651cb94ad4c4d017b86,25
5f16f559325a640008bb9a07,26
5f32bc368853aa03df112fc6,17
5f985596be2ea910b23827ed,22
5f9873550513db147c9d2958,22
5fd18d125e1f92195b1717bc,24
5ff27bb4ad8fba794c1b96fa,22
6056bcf1cee7a41435889255,25
605b5b5feff0e95f2cd60834,25
608209b96e955ba5201eff25,23
60bff9298f56d55c8ecd9adf,26
60d2b326161a622cd363268a,25
60dbf4d94a3b5564b68881e8,21
60ea57c074a703877f04330b,29
60ef2700e476748689a999f7,22
60f4e3ab507bbb123f866e88,31
60fcebba7345a976efc9c080,22
60fd56db5fe37ebeca00bc83,26
60fd5a99c4e4ead0c9a6fff4,24
60fd80b85dd6b22f66d16822,18
60fd89617258b322c92fdd03,29
60fdb9ec6c3006abe82e5182,22
60fec21e36a05990cfa8a715,25
60ff33eea57872b7188f12e2,22
60ff830d7a7cce48e1787ba2,21
610024bfd6e1038ba3b1601d,26
6100652c5329da76a962cdb3,21
61006614d4c56450afce3a6b,25
61006f43a84b82fb439d7cba,28
610247cdbc9b348fd6601cb3,20
610367ad785ce86ceb8d201c,30
6107f902de5549cbdf72cbe1,32
61084dbab48ab21fce452554,32
6112c911a83cc494df38b468,21
6112dccad39227e361c13866,28
6116f60ae8f48f7d1244e8d3,16
612e6569f68929afb886fb5c,21
61338374ecef87bfdfd1c7bb,24
6154a88b71a7f4347658b0f7,30
615a084387075364a7462335,27
62a1ed3d1357f3e033ae44f9,25
62a885d5b6af18b3d4579e1b,23
62fb84322433c8d7e890a145,23
630386f64c5bbd56ab1c3b0f,22
631f3abc8826b6e7e8982648,29
63235c5bf70d8e4f79b205cd,28
6346da55c3bf67b0dbf06272,26
63ced670c8d001d1d5057140,24
63d13e2a6dd3ec4a5f6bff7b,24
63d3f98237a95683bfa381e3,30
63d3f9d0ab6c170778b0d3d1,28
63d4019999c9ab839156014c,28
63d40481d12fc9cc4c1adab0,25
63d5bb0d1cc3800ad1e343dc,24
63d5e3bf4a739d1158b9ce64,27
63d7c5cbacd85e95302f3a62,22
63d7ec164d40c184be89bf34,19
63d7f2b15b4a5938642f3a7b,28
63ddc6baab6a2130b8a41bf7,27
63e51e528df11f83a1aacab8,28
63e52399159a69bf0ea848c6,23
63ea4ab1ce4168cbe9f63775,23
63eac31811a6da58d4f32d76,25
63fac97f0d4e8f6bfd753d90,24
6400d8ca785ee04d9b02ae9c,23
64023a98627b1116180dff0b,25
641361334c91a0c6ff4c5b79,28
641a3df3c874807a1a8734bc,24
