Prolific_ID,RSQ_finalscore
568d286ab5a2c2000cb6a91c,11.0
595727bd7c76640001aa8f6e,19.25
5a4636c92f91ec0001dcba07,4.0
5ad2c8334d061300011b1985,9.5
5adef850eb60400001539109,10.375
5aec7e89ae13140001fc0cdf,13.5
5b6c312fa1fda800015fe165,10.625
5bcc60b95c2b810001dc68e2,6.5
5c1c74700036a80001193c24,7.875
5c1edaeaafeeef00011588b3,5.125
5c3272172f0f3500010284c0,17.75
5cab944b41de360017e2c3db,8.5
5d55d562e04e1c0001f5e682,10.625
5dcb685070d51c8275d7bd54,11.875
5dee8ee31255595293a9906b,5.75
5ec75df0d799ae1c11a8115c,5.875
5eefc651cb94ad4c4d017b86,11.875
5f16f559325a640008bb9a07,10.625
5f32bc368853aa03df112fc6,11.25
5f985596be2ea910b23827ed,13.25
5f9873550513db147c9d2958,16.375
5fd18d125e1f92195b1717bc,12.875
5ff27bb4ad8fba794c1b96fa,11.75
6056bcf1cee7a41435889255,13.125
605b5b5feff0e95f2cd60834,5.875
608209b96e955ba5201eff25,4.75
60bff9298f56d55c8ecd9adf,12.125
60d2b326161a622cd363268a,8.875
60dbf4d94a3b5564b68881e8,13.75
60ea57c074a703877f04330b,7.375
60ef2700e476748689a999f7,6.625
60f4e3ab507bbb123f866e88,3.25
60fcebba7345a976efc9c080,11.25
60fd56db5fe37ebeca00bc83,7.0
60fd5a99c4e4ead0c9a6fff4,10.25
60fd80b85dd6b22f66d16822,12.125
60fd89617258b322c92fdd03,10.0
60fdb9ec6c3006abe82e5182,11.125
60fec21e36a05990cfa8a715,8.625
60ff33eea57872b7188f12e2,6.375
60ff830d7a7cce48e1787ba2,13.125
610024bfd6e1038ba3b1601d,10.125
6100652c5329da76a962cdb3,6.5
61006614d4c56450afce3a6b,7.5
61006f43a84b82fb439d7cba,12.25
610247cdbc9b348fd6601cb3,9.75
610367ad785ce86ceb8d201c,5.375
6107f902de5549cbdf72cbe1,7.5
61084dbab48ab21fce452554,15.25
6112c911a83cc494df38b468,10.5
6112dccad39227e361c13866,9.75
6116f60ae8f48f7d1244e8d3,10.375
612e6569f68929afb886fb5c,8.375
61338374ecef87bfdfd1c7bb,9.875
6154a88b71a7f4347658b0f7,8.125
615a084387075364a7462335,11.625
62a1ed3d1357f3e033ae44f9,10.0
62a885d5b6af18b3d4579e1b,3.0
62fb84322433c8d7e890a145,16.0
630386f64c5bbd56ab1c3b0f,10.875
631f3abc8826b6e7e8982648,7.5
63235c5bf70d8e4f79b205cd,11.0
6346da55c3bf67b0dbf06272,8.5
63ced670c8d001d1d5057140,13.0
63d13e2a6dd3ec4a5f6bff7b,8.875
63d3f98237a95683bfa381e3,4.75
63d3f9d0ab6c170778b0d3d1,16.0
63d4019999c9ab839156014c,3.75
63d40481d12fc9cc4c1adab0,10.0
63d5bb0d1cc3800ad1e343dc,10.25
63d5e3bf4a739d1158b9ce64,10.625
63d7c5cbacd85e95302f3a62,17.625
63d7ec164d40c184be89bf34,10.0
63d7f2b15b4a5938642f3a7b,15.875
63ddc6baab6a2130b8a41bf7,14.5
63e51e528df11f83a1aacab8,9.25
63e52399159a69bf0ea848c6,8.125
63ea4ab1ce4168cbe9f63775,4.375
63eac31811a6da58d4f32d76,12.25
63fac97f0d4e8f6bfd753d90,13.5
6400d8ca785ee04d9b02ae9c,11.5
64023a98627b1116180dff0b,13.25
641361334c91a0c6ff4c5b79,8.125
641a3df3c874807a1a8734bc,8.75
