TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI
1,scroll through TikTok at night in my bedroom. ,make brownies with my boyfriend in my kitchen,0.01,0.01,4.4
2,paint my nails in my bathroom,get my nails done at the nail salon with my friend,0.02,0.01,8.8
3,watch youtube videos while I am eating dinner at the dinner table,go on shopping sprees with my boyfriend at the mall,0.03,0.01,3.3
4,scroll through TikTok at night in my bedroom. ,grab dinner with my sister after work at night,0.04,0.01,1.1
5,run at the closest park to my house on cooler days,grab dinner with my sister after work at night,0.05,0.01,1.1
6,scroll on Instagram in my bed,get Starbucks with my boyfriend before class,0.01,0.02,3.3
7,play video games in my room,watch movies with my parents at their house,0.02,0.02,1.1
8,take walks around my neighborhood when it is sunny outside,swim with my best friend at his house,0.03,0.02,1.1
9,play Minecraft on my iPad late at night in my room,go on shopping sprees with my boyfriend at the mall,0.04,0.02,4.4
10,play video games in my room,relax with my boyfriend at his house,0.05,0.02,1.1
11,run at the closest park to my house on cooler days,go on shopping sprees with my boyfriend at the mall,0.01,0.03,3.3
12,paint my nails in my bathroom,swim with my best friend at his house,0.02,0.03,4.4
13,take walks around my neighborhood when it is sunny outside,get Starbucks with my boyfriend before class,0.03,0.03,1.1
14,bake in my kitchen at night for dinner and dessert,get Starbucks with my boyfriend before class,0.04,0.03,3.3
15,play Minecraft on my iPad late at night in my room,get my nails done at the nail salon with my friend,0.05,0.03,4.4
16,bake in my kitchen at night for dinner and dessert,play games during work with my coworkers,0.01,0.04,1.1
17,paint my nails in my bathroom,relax with my boyfriend at his house,0.02,0.04,8.8
18,play Minecraft on my iPad late at night in my room,relax with my boyfriend at his house,0.03,0.04,3.3
19,take walks around my neighborhood when it is sunny outside,go on shopping sprees with my boyfriend at the mall,0.04,0.04,3.3
20,bake in my kitchen at night for dinner and dessert,swim with my best friend at his house,0.05,0.04,1.1
21,take walks around my neighborhood when it is sunny outside,watch movies with my parents at their house,0.01,0.05,8.8
22,scroll on Instagram in my bed,swim with my best friend at his house,0.02,0.05,4.4
23,watch tv shows in my bedroom at night,relax with my boyfriend at his house,0.03,0.05,1.1
24,watch tv shows in my bedroom at night,grab dinner with my sister after work at night,0.04,0.05,4.4
25,play video games in my room,go on shopping sprees with my boyfriend at the mall,0.05,0.05,3.3
26,play video games in my room,make brownies with my boyfriend in my kitchen,0.01,0.01,4.4
27,bake in my kitchen at night for dinner and dessert,make brownies with my boyfriend in my kitchen,0.02,0.01,3.3
28,paint my nails in my bathroom,watch movies with my parents at their house,0.03,0.01,3.3
29,scroll through TikTok at night in my bedroom. ,relax with my boyfriend at his house,0.04,0.01,4.4
30,bake in my kitchen at night for dinner and dessert,grab dinner with my sister after work at night,0.05,0.01,8.8
31,paint my nails in my bathroom,do karaoke at my house with my friends,0.01,0.02,8.8
32,paint my nails in my bathroom,get Starbucks with my boyfriend before class,0.02,0.02,1.1
33,play video games in my room,do karaoke at my house with my friends,0.03,0.02,4.4
34,watch youtube videos while I am eating dinner at the dinner table,relax with my boyfriend at his house,0.04,0.02,3.3
35,run at the closest park to my house on cooler days,do karaoke at my house with my friends,0.05,0.02,1.1
36,scroll through TikTok at night in my bedroom. ,get Starbucks with my boyfriend before class,0.01,0.03,3.3
37,scroll on Instagram in my bed,grab dinner with my sister after work at night,0.02,0.03,1.1
