Prolific_ID,DII_dysfuntionalimpulsivity,DII_functionalimpulsivity
63d432e27555fb4b5785cfcd,3,4
660482648009855d3c92ce84,2,6
5c5c451500b69200011bb8bf,2,9
65779c4bde34621ce896b77d,2,4
663e40120b553e7aa7f786b4,3,5
64c0a2d8031339ab6ec5e54a,3,11
663e5cf112f5d047cf5c9fad,5,3
65f7fbb178b358ac91094fec,2,7
6676fab6295042ff191ead64,2,6
6601a1251731342a7891c4f1,1,7
665fc69fe8d5562ac1294f30,4,4
65412ca42e0e2fbb27b8a7b2,8,4
667838be776b27f8705b6c3c,5,5
60c7fd00cce7a43663968b17,2,3
6679bdceaa28479dfe378bb6,5,6
6670297f1e47e468c3605ef4,3,7
661fee35973b5ff6fa3418ef,1,4
6645a794be029b87060615aa,6,6
65c14027646a9bbfa89584c8,2,6
5cc3f0f9fdb33500018c5eeb,2,5
6643c34315b04d498e71017e,2,8
65d65821b5e4f4fb6de9076c,5,8
6683b31d16dd162d502a8b00,2,5
6669a122ab60c120f94b3aa5,5,8
66465b2522d14ab162ff2dbd,6,5
66202163d9e5dba57c5e831d,2,7
6627722f249e56fcefd07b8c,2,6
66800683809f48e85f663f86,2,6
66463e4efb99fba5a67a010a,4,7
65e4124826438fd6dc97bd7e,1,6
65fb2f8291cf16104e63effc,2,5
66d9609fbac7758ed890cece,2,5
666e123eb6aff45cf5be575e,5,7
668d5a454e51f2df12027e26,2,5
66ba909954ae8842a7c369a4,3,7
66ce33a40ac4984adc2e18c8,1,6
66a08dccc5cc029fc23a96a8,9,11
60fd83ff5af11073b7d1ed62,1,5
6111216b74cfd482d05ac02b,2,7
6560aa71bf5cc31f1c99ca34,2,8
6665fb9d3202800c8227cde5,2,7
662a754842502c24dbb45384,2,10
66f16ff603404dbb816cc517,4,6
66c0df311f98d7c9661669d9,5,4
66ed6bba745fee41cbe32310,6,10
62865af5a1e349260f58cdf7,3,7
66946e3054a30a2bf5b1be40,4,6
63d161e70272bba9f3f70980,6,5
66a049748b57caf868c3179d,4,7
5f4a835e9e84256238129995,2,7
655e0b698915e40faa8002f2,3,8
60c8467d9872c0d83f695499,3,8
59d5888d21977e0001d630f3,8,6
66ada0d8b8ddd62c65d39bfe,3,6
5de8613ddf86d37c8a8ab294,2,5
5f32e865bd94490a64d9c9f5,3,6
5ddce9f0f85b50c4fc1515a4,2,8
5f0f5df48a1b1a114c3dacc5,5,4
66f899c9525316803c5d75c0,2,8
5c9d004ee3b6c40015254526,1,6
6637ca249e9c662fac63cfcb,3,7
66757cddd8d92a5cbfda353f,2,6
66c95504723c57c900715764,3,2
65d659edd2fb402f9170d123,3,7
66661b49621ea96feaf4f6f3,2,6
66dc48cea9a85fe230c06b5f,2,7
5efe8c25e921d23a9daec079,4,7
66f0bbf2ad2ccf85f492cbcb,2,6
67094d6215b6d0fe3e8c3e39,2,7
613aad30bcfed65155a026ec,2,6
65624dbc33b93e2696f06d1f,4,7
667981cd5ba91c2ae804e4f3,2,5
5e923888c38d4a574e72d716,4,5
5a09ebdf087f2e0001eae39f,5,6
65b7ba948f5c3052140c24f8,2,5
670d326c55fa3d6f10ebe253,0,3
66f2946d0e3eeda7aa13eaa7,6,6
6600a119385d8631c41cd795,2,5
668beeeac6158723009d2b8a,6,4
663a7379aca69d9c20130cd1,1,6
6686247e6177b8b37bdd0463,2,5
659cc63ff59c72a20e2b7688,5,8
5f247332e02337051dc208aa,6,9
61528277afcb4906d01e0442,2,4
61741ba984f258d5c6a1303c,2,5
5fe23b5e1f2ef9db2ab8e5a0,2,4
671469967e2a4f2e612e3846,2,5
6722ca2b1f3ebd2d544608c3,4,6
65f54bfd77f3db0d47887b37,6,5
66b92d3b18295c1e6c125b85,1,8
610f303cfb519f6dc89edd5f,3,6
665629a30c7e3f40e8f3d1d5,2,5
66f42a85953065aa4cc9d751,4,4
6704251bcdca04fef23d385d,4,5
66f0a1d13629250f84bc2598,3,8
6711f493bfc7c4e11953872d,3,6
662fad6b6f397a64efc67680,2,7
66d2d920fb76c49f098b9397,3,6
6700d6aca79c6b2534f6292c,2,4
